scene,PSNR,SSIM,MS-SSIM,D-SSIM,LPIPS-vgg,LPIPS-alex,n_gaussians,storage_mb,fps,train_time_sec,n_frames
3dprinter,22.030054092407227,0.7058329582214355,0.808096706867218,0.09595166891813278,0.32326728105545044,0.26762956380844116,173716,70.88,7.22,3458.2,207
broom2,21.917394638061523,0.3661119341850281,0.6867032051086426,0.15664835274219513,0.5574955344200134,0.549521803855896,93456,49.93,8.11,2119.4,197
chicken,28.695232391357422,0.8148626089096069,0.9307116866111755,0.03464413434267044,0.27554354071617126,0.1799367517232895,130463,57.87,8.13,2741.3,164
banana,27.894453048706055,0.8543074727058411,0.939189076423645,0.03040548600256443,0.19328266382217407,0.13555710017681122,244084,102.14,23.37,4396.6,513
