scene,PSNR,SSIM,MS-SSIM,D-SSIM,LPIPS-vgg,LPIPS-alex,n_gaussians,storage_mb,fps,train_time_sec,n_frames
bouncingballs,40.706207275390625,0.9943249821662903,0.9952718615531921,0.0023641109000891447,0.015250364318490028,0.006208549253642559,27148,20.63,38.15,794.3,20
hellwarrior,28.792184829711914,0.9734959602355957,0.9854786992073059,0.007260660640895367,0.0373774990439415,0.0248741265386343,41132,22.43,33.36,763.1,20
hook,32.82435607910156,0.9757655262947083,0.9894727468490601,0.005263621918857098,0.02749078907072544,0.017041679471731186,38829,21.83,38.5,744.0,20
jumpingjacks,35.33043670654297,0.9856327772140503,0.9934684038162231,0.003265816019847989,0.020130129531025887,0.01288156770169735,24463,21.77,43.86,669.2,20
lego,25.035186767578125,0.93761146068573,0.9531989097595215,0.023400593549013138,0.05665989965200424,0.03897656872868538,94995,34.65,30.53,1178.7,20
mutant,37.47281265258789,0.9878841638565063,0.9969800114631653,0.001509962952695787,0.01694805547595024,0.009117549285292625,38341,23.55,42.08,724.6,20
standup,38.10911178588867,0.989759087562561,0.9966769218444824,0.0016615018248558044,0.014007195830345154,0.007364531513303518,26765,20.53,41.85,661.5,20
trex,34.200767517089844,0.9848917126655579,0.9925793409347534,0.003710336983203888,0.021568551659584045,0.012655730359256268,67494,33.0,38.15,934.1,20
