scene,PSNR,SSIM,MS-SSIM,D-SSIM,LPIPS-vgg,LPIPS-alex,n_gaussians,storage_mb,fps,train_time_sec,n_frames
as,25.6767578125,0.8711010217666626,0.8859311938285828,0.05703436955809593,0.18929365277290344,0.08343451470136642,40202,40.33,104.6,,846
basin,19.169185638427734,0.7669268250465393,0.805654764175415,0.09717264026403427,0.2275637835264206,0.12056397646665573,59243,45.3,79.34,,668
bell,22.62051010131836,0.8126943707466125,0.8463238477706909,0.07683802396059036,0.20147819817066193,0.10879753530025482,86152,52.32,60.71,,881
cup,24.23215103149414,0.8771904110908508,0.9031650424003601,0.048417434096336365,0.16734933853149414,0.07508385181427002,69476,47.97,70.39,,807
plate,17.812118530273438,0.7422780990600586,0.692319929599762,0.1538400501012802,0.33006751537323,0.24409152567386627,47200,42.16,93.66,,424
press,24.1010684967041,0.8198856115341187,0.8249340057373047,0.08753300458192825,0.2467605322599411,0.1415577232837677,52237,43.47,85.85,,487
sieve,25.72370147705078,0.8636630177497864,0.9037870764732361,0.048106443136930466,0.16876523196697235,0.07843036204576492,62036,46.03,76.98,,584
